ranking_companies,unicorn,date_joined,country,city,industry,selected_investors,value,lat,lng,capital,population,id_city,year
302,TradingView,2021-10-14,United States,Westerville,Fintech,"Tiger Global Management, Insight Partners, Jump Capital",3.0,40.1241,-82.9209,,41103.0,1840003763,2021
303,Groww,2021-04-07,India,Bangalore,Fintech,"Tiger Global Management, Sequoia Capital India, Ribbit Capital",3.0,12.9699,77.598,admin,13707000.0,1356410365,2021
304,Podium,2020-04-07,United States,Lehi,Internet software & services,"Accel, Summit Partners, Google Ventures",3.0,40.4136,-111.8726,,69724.0,1840020168,2020
305,Via,2020-03-30,United States,New York,Auto & transportation,"83North, RiverPark Ventures, Pitango Venture Capital",3.3,40.6943,-73.9249,,18713220.0,1840034016,2020
306,Anchorage Digital,2021-12-15,United States,San Francisco,Fintech,"Andreessen Horowitz, Blockchain Capital, Lux Capital",3.0,37.7562,-122.443,,3592294.0,1840021543,2021
307,Inxeption,2022-01-13,United States,San Francisco,Fintech,"Coatue Management, BMO Capital, Schonfeld Strategic Advisors",3.0,37.7562,-122.443,,3592294.0,1840021543,2022
308,Lattice,2021-03-23,United States,San Francisco,Internet software & services,"Khosla Ventures, Thrive Capital, Y Combinator",3.0,37.7562,-122.443,,3592294.0,1840021543,2021
309,Flutterwave,2021-03-09,United States,San Francisco,Fintech,"Green Visor Capital, CRE Venture Capital, Greycroft",3.0,37.7562,-122.443,,3592294.0,1840021543,2021
310,Amber Group,2021-06-21,Hong Kong,Hong Kong,Fintech,"Tiger Global Management, Tiger Brokers, DCM Ventures",3.0,22.305,114.185,primary,7347000.0,1344982653,2021
311,wefox,2019-03-05,Germany,Berlin,Fintech,"Salesforce Ventures, Seedcamp, OMERS Ventures",3.0,52.5167,13.3833,primary,3644826.0,1276451290,2019
312,Cross River Bank,2022-02-11,United States,Fort Lee,Fintech,"Battery Ventures, Andreessen Horowitz, Ribbit Capital",3.0,40.8509,-73.9712,,38605.0,1840003552,2022
313,Remote,2021-07-13,United States,San Francisco,Fintech,"Index Ventures, Sequoia Capital, General Catalyst",3.0,37.7562,-122.443,,3592294.0,1840021543,2021
314,Sentry,2021-02-18,United States,San Francisco,Other,"New Enterprise Associates, Accel, Bond",3.0,37.7562,-122.443,,3592294.0,1840021543,2021
315,Kraken,2019-06-25,United States,San Francisco,Fintech,"Bnk To The Future, Trammell Ventures, SBI Investment",2.92,37.7562,-122.443,,3592294.0,1840021543,2019
316,OpenAI,2019-07-22,United States,San Francisco,Artificial Intelligence,Khosla Ventures,2.92,37.7562,-122.443,,3592294.0,1840021543,2019
317,Workrise,2019-09-30,United States,Austin,Internet software & services,"Founders Fund, Quantum Energy Partners, Bedrock Capital",2.9,30.3004,-97.7522,admin,1687311.0,1840019590,2019
318,Loft,2020-01-03,Brazil,Sao Paulo,E-commerce & direct-to-consumer,"Monashees+, Andreessen Horowitz, QED Investors",2.9,-23.5504,-46.6339,admin,22046000.0,1076532519,2020
319,BharatPe,2021-07-30,India,New Delhi,Fintech,"Insight Partners, Sequoia Capital India, BEENEXT",2.85,28.7,77.2,primary,142004.0,1356215164,2021
320,DriveWealth,2021-08-20,United States,Chatham,Fintech,"Point72 Ventures, Route 66 Ventures, Accel",2.85,39.6733,-89.6938,,13008.0,1840010560,2021
321,Flink,2021-12-01,Germany,Berlin,E-commerce & direct-to-consumer,"Mubadala Capital, Bond, Prosus Ventures",2.85,52.5167,13.3833,primary,3644826.0,1276451290,2021
322,Alan,2021-04-19,France,Paris,Fintech,"Index Ventures, Temasek, Portag3 Ventures",2.85,48.8566,2.3522,primary,11020000.0,1250015082,2021
323,Meicai,2016-06-22,China,Beijing,Mobile & telecommunications,"Tiger Global Management, Blue Lake Capital, ZhenFund",2.8,39.905,116.3914,primary,19433000.0,1156228865,2016
324,ContentSquare,2021-05-25,France,Paris,Internet software & services,"Highland Europe, Eurazeo, Canaan Partners",2.8,48.8566,2.3522,primary,11020000.0,1250015082,2021
